section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,1,1,1578,4463.220965138162,5934.367245006428,3793.1262044435807,2.828403653446237,3.760689001905214,2.403755516123942,-0.32961538121443335,0.15013703465022998,0.36082044675691916
BUCKET,1,2,1118,2527.8494939276943,3086.423230298962,4343.06222062736,2.261046058969315,2.760664785598356,3.884671038128229,-0.22096795624622945,-0.7180857606673585,-0.40715057416369804
BUCKET,1,3,790,2139.4136365108716,1974.8878996387787,4572.318463911524,2.7081185272289514,2.4998581008085807,5.787744891027246,0.07690225679799567,-1.1371830046705838,-1.315229368081011
BUCKET,1,4,562,1489.6232603046474,1895.8088705313153,2341.860630822871,2.6505751962716144,3.3733253924044755,4.167011798617208,-0.27267673716614604,-0.5721160465391295,-0.2352830853494985
BUCKET,1,5,512,1119.6335267384325,1324.5885333806625,2759.982454481439,2.186784231911001,2.5870869792591065,5.390590731409061,-0.1830554388981882,-1.4650766421057906,-1.0836526852888517
BUCKET,1,6,156,362.3235863269306,352.7735331771798,1164.9258500945564,2.322587091839299,2.2613688024178193,7.467473398042028,0.026357801451914353,-2.2151532333404993,-2.30219174778476
BUCKET,1,7,142,276.28178766502106,394.00225796465435,931.201047420607,1.9456463920071905,2.7746637884834815,6.557753855074697,-0.42608841970562294,-2.3704756845921575,-1.3634408904939432
BUCKET,2,1,1439,11248.60749592846,14565.383466027306,10537.107930552378,7.816961428720264,10.121878711624257,7.322521147013466,-0.2948610280249697,0.06325223505519373,0.2765650176578315
BUCKET,2,2,917,5724.539079853883,7882.9226745592805,9456.137270156067,6.24268165741972,8.596426035506303,10.312036281522428,-0.3770405904470635,-0.6518600254533387,-0.19957250128484127
BUCKET,2,3,710,4950.069250666429,6055.11104673574,10852.661759573883,6.971928522065393,8.528325417937662,15.285439097991384,-0.223237643780547,-1.1924262490090993,-0.7923142409459958
BUCKET,2,4,602,4287.154089361752,8130.280647771052,5944.170019174178,7.121518420866698,13.505449581015036,9.874036576701293,-0.8964283714330976,-0.38650720157789187,0.2688850143440257
BUCKET,2,5,591,3267.048963081965,5377.232991922922,7073.378262849916,5.528001629580314,9.09853298125706,11.968491138493935,-0.6458991134465026,-1.1650664997004685,-0.3154308681574247
