date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-01,2,0.005479452054794521,55,0.2759709500999234,0.1,3.0,0.12667213912809297
2023-02-01,5,0.0136986301369863,34,0.18583583084464267,0.1,3.0,0.05364292900116865
2023-02-01,6,0.01643835616438356,40,0.18276090908034368,0.1,3.0,0.03811921449184413
2023-02-01,7,0.019178082191780823,44,0.17537603249688288,0.1,3.0,0.01996601043720454
2023-02-01,8,0.021917808219178082,50,0.17879621078984337,0.1,3.0,0.0227942388702393
2023-02-01,9,0.024657534246575342,69,0.1745076192334404,0.1,3.0,0.03143685665284685
2023-02-01,12,0.03287671232876712,56,0.15421231017899054,-0.0722073263785233,3.0,0.012421599506582908
2023-02-01,13,0.03561643835616438,63,0.1700759646994868,-0.1096927169150671,3.0,0.012481379701814826
2023-02-01,14,0.038356164383561646,64,0.1648600267656037,-0.24848813708542672,2.9285777694546087,0.006253416590699444
2023-02-01,15,0.0410958904109589,71,0.1664513425617073,-0.25421167094287445,3.0,0.0072373980894343635
2023-02-01,16,0.043835616438356165,352,0.16727516379702578,0.1,3.0,0.046315384501002324
2023-02-01,20,0.0547945205479452,66,0.15122302876730606,-0.29590905937974815,2.760846895002037,0.0058642330132956414
2023-02-01,21,0.057534246575342465,77,0.15335218016464636,-0.3514033760552758,2.541119439227967,0.004218722846032501
2023-02-01,22,0.06027397260273973,63,0.15310658955130269,-0.3674773458931446,2.8128119990306812,0.005604109651741012
2023-02-01,23,0.06301369863013699,113,0.15201573357077958,-0.3395212729953386,2.6505668315656497,0.00666971864351078
2023-02-01,26,0.07123287671232877,86,0.1482608855320538,-0.34997413608934913,2.4095770987963276,0.005032565203917362
2023-02-01,27,0.07397260273972603,157,0.1447503013338426,-0.4034026845829092,2.380894151689224,0.0068429955620413945
2023-02-01,28,0.07671232876712329,44,0.14944255094288486,-0.4201176210454215,2.3522419550599025,0.004539626967493722
2023-02-01,29,0.07945205479452055,48,0.15110362205675643,-0.4046512262421811,2.3652542458142367,0.0056263434570395935
2023-02-01,30,0.0821917808219178,117,0.1517564012152802,-0.41752080941391884,2.2002269856392047,0.005112443792103148
2023-02-01,33,0.09041095890410959,88,0.14827774897860632,-0.41767602305872753,2.187839653268298,0.003946901642963929
2023-02-01,37,0.10136986301369863,82,0.15455163229704277,-0.46584510996356404,2.0589105002836607,0.0041503634282308265
2023-02-01,44,0.12054794520547946,502,0.14747417889266562,-0.4055130926758697,2.369859518157306,0.01385563761152353
2023-02-01,51,0.13972602739726028,65,0.16513115858812374,-0.5323025818022283,1.7521966096895263,0.003696664400416105
2023-02-01,58,0.1589041095890411,285,0.159533202077512,-0.49995726316640404,1.7746080418143781,0.006803388999917608
2023-02-01,79,0.21643835616438356,490,0.15868110562789212,-0.5641268948353741,1.732895514834175,0.005751642648488745
2023-02-01,86,0.2356164383561644,272,0.1617309130901542,-0.6421570259980063,1.5836417048292397,0.001361702403025789
2023-02-01,107,0.29315068493150687,459,0.1612689210486568,-0.6035970261338199,1.4905250399621361,0.0055830115900766504
2023-02-01,119,0.32602739726027397,139,0.1628679121513945,-0.6728232825665854,1.3114458295648033,0.0018013091399834392
2023-02-01,135,0.3698630136986301,438,0.16435070190504647,-0.6375267166077111,1.3018838115350266,0.004942302287994309
2023-02-01,149,0.40821917808219177,292,0.16600723813564763,-0.6925017847086079,1.2533490683496695,0.00204143957464924
2023-02-01,170,0.4657534246575342,186,0.1658795158274176,-0.6867290105862328,1.2455109036752587,0.0027585242330293944
2023-02-01,180,0.4931506849315068,123,0.16876374335499733,-0.7120071120857113,1.1372488477314542,0.001861374907059268
2023-02-01,198,0.5424657534246575,117,0.16743342314241616,-0.6942995304370496,1.101568846585654,0.00315170831097338
2023-02-02,4,0.010958904109589041,44,0.17236254837983228,0.1,3.0,0.059543908072469405
2023-02-02,5,0.0136986301369863,53,0.16989252002528227,0.1,3.0,0.04131976786419844
2023-02-02,6,0.01643835616438356,54,0.16491622897725072,0.1,3.0,0.02165057333431996
2023-02-02,7,0.019178082191780823,64,0.16686249973660774,0.1,3.0,0.023851691971050863
2023-02-02,8,0.021917808219178082,69,0.16927463275883858,0.1,3.0,0.03280617560436851
2023-02-02,11,0.030136986301369864,66,0.14397463460142634,0.1,3.0,0.012975818908855444
2023-02-02,12,0.03287671232876712,74,0.16297040769493876,0.1,2.9482307432805372,0.01605800056809194
2023-02-02,13,0.03561643835616438,76,0.1655531910903839,0.1,2.1482387195263817,0.013433254808212605
2023-02-02,14,0.038356164383561646,86,0.16924178065615872,0.04186510693032043,2.3523100003972934,0.012436274424371566
2023-02-02,15,0.0410958904109589,364,0.16816287150220832,0.1,3.0,0.046247163250375145
2023-02-02,19,0.052054794520547946,77,0.15434451554527934,0.025669120044800164,2.0509076368234793,0.010736797427674269
2023-02-02,20,0.0547945205479452,86,0.15494601983155384,-0.09664617707808733,1.7705653936069876,0.00907874311793313
2023-02-02,21,0.057534246575342465,75,0.15207428570338727,-0.19396320698808056,2.4369157636604535,0.005799596513414854
2023-02-02,22,0.06027397260273973,122,0.1534662870297646,-0.13863425790823017,2.109260233193304,0.011794933778607047
2023-02-02,25,0.0684931506849315,95,0.14965918579526213,-0.12440581935077748,1.8041876299470623,0.010462186705430603
2023-02-02,26,0.07123287671232877,158,0.1440025656691856,-0.20938128077426194,1.8684841883694028,0.011435980272730765
2023-02-02,27,0.07397260273972603,78,0.14875507253618742,-0.27395882888502693,1.8612323254558967,0.006477831002712163
2023-02-02,28,0.07671232876712329,48,0.15251657124675677,-0.24466122685334296,1.89370153512073,0.00859737034023449
2023-02-02,29,0.07945205479452055,125,0.15179167308935032,-0.3036184949957563,1.8027062044278028,0.009381174477135747
2023-02-02,32,0.08767123287671233,97,0.1462168554698698,-0.2813597931414461,1.9134088232781103,0.0066124854155871346
2023-02-02,36,0.09863013698630137,88,0.1530460945814654,-0.34125063627585545,1.8561530971414657,0.009674652522517674
2023-02-02,39,0.10684931506849316,48,0.1491919343958862,-0.37116770880232103,1.8321782505712982,0.004797293036687159
2023-02-02,43,0.1178082191780822,518,0.1465001568278965,-0.26377286182812343,2.1442171351528216,0.01861622394990283
2023-02-02,50,0.136986301369863,65,0.16862012548171823,-0.479853397193507,1.4472259425504657,0.009078806776088647
2023-02-02,57,0.15616438356164383,293,0.16106722278871127,-0.4262644613196632,1.5578312025202767,0.014277463719385207
2023-02-02,78,0.2136986301369863,516,0.1601585035188815,-0.505421116358563,1.572875274419123,0.009699125584640407
